# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: b1-variant
# date: 2026-07-14T20:50:10Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: bb4a40d4d169
# clang_built: 2026-07-14T22:49:03Z
# clang_uncommitted_changes: 3
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
b1-variant	aes_Oz_default	text	2184
b1-variant	aes_Oz_default	bin	2418
b1-variant	aes_Oz_default	tstates	16563208
b1-variant	aes_Oz_default	verify	PASS
b1-variant	aes_O2_default	text	4349
b1-variant	aes_O2_default	bin	5087
b1-variant	aes_O2_default	tstates	16442608
b1-variant	aes_O2_default	verify	PASS
b1-variant	autoload	text_raw	3393
b1-variant	autoload	prom_bin	2036
b1-variant	autoload	prom_free	12
b1-variant	autoload	main_relocated_size	486
b1-variant	autoload	rom_o_text	1706
b1-variant	cpnos	prom1_bin	1989
b1-variant	cpnos	prom1_free	59
b1-variant	cpnos	payload	1986
b1-variant	rcbios	bios_bytes	5918
b1-variant	runtime	pass	924
b1-variant	runtime	fail	0
b1-variant	runtime	fatal	0
b1-variant	runtime	skip	258
b1-variant	lit	pass	(97.57%)
b1-variant	lit	xfail	(2.43%)
