# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: baseline
# date: 2026-06-08T18:16:36Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: ff7d965bb817
# clang_built: 2026-06-08T16:55:55Z
# clang_uncommitted_changes: 2
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
baseline	aes_Oz_default	text	2213
baseline	aes_Oz_default	bin	2634
baseline	aes_Oz_default	tstates	16593330
baseline	aes_Oz_default	verify	PASS
baseline	aes_O2_default	text	4381
baseline	aes_O2_default	bin	5570
baseline	aes_O2_default	tstates	16535503
baseline	aes_O2_default	verify	PASS
baseline	autoload	text_raw	1982
baseline	autoload	prom_bin	1683
baseline	autoload	prom_free	365
baseline	autoload	main_relocated_size	621
baseline	autoload	rom_o_text	1859
baseline	cpnos	prom1_bin	1992
baseline	cpnos	prom1_free	56
baseline	cpnos	payload	1998
baseline	rcbios	bios_bytes	5915
