# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: baseline-phase0
# date: 2026-06-08T18:15:58Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: ff7d965bb817
# clang_built: 2026-06-08T16:55:55Z
# clang_uncommitted_changes: 1
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
baseline-phase0	aes_Oz_default	text	2213
baseline-phase0	aes_Oz_default	bin	2634
baseline-phase0	aes_Oz_default	tstates	16593330
baseline-phase0	aes_Oz_default	verify	PASS
baseline-phase0	aes_O2_default	text	4381
baseline-phase0	aes_O2_default	bin	5570
baseline-phase0	aes_O2_default	tstates	16535503
baseline-phase0	aes_O2_default	verify	PASS
baseline-phase0	autoload	text_raw	1982
baseline-phase0	autoload	prom_bin	1683
baseline-phase0	autoload	prom_free	365
baseline-phase0	autoload	main_relocated_size	621
baseline-phase0	autoload	rom_o_text	1859
baseline-phase0	cpnos	prom1_bin	2048
baseline-phase0	cpnos	prom1_free	0
baseline-phase0	cpnos	payload	1998
baseline-phase0	rcbios	bios_bytes	5915
