# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p1-tiered-on
# date: 2026-06-08T18:50:42Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 93f94560354f
# clang_built: 2026-06-08T20:50:14Z
# clang_uncommitted_changes: 3
# clang_extra: '-mllvm -z80-use-tiered-cost-model'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p1-tiered-on	aes_Oz_default	text	2213
p1-tiered-on	aes_Oz_default	bin	2634
p1-tiered-on	aes_Oz_default	tstates	16593330
p1-tiered-on	aes_Oz_default	verify	PASS
p1-tiered-on	aes_O2_default	text	4381
p1-tiered-on	aes_O2_default	bin	5570
p1-tiered-on	aes_O2_default	tstates	16535503
p1-tiered-on	aes_O2_default	verify	PASS
p1-tiered-on	autoload	text_raw	1982
p1-tiered-on	autoload	prom_bin	1683
p1-tiered-on	autoload	prom_free	365
p1-tiered-on	autoload	main_relocated_size	621
p1-tiered-on	autoload	rom_o_text	1859
p1-tiered-on	cpnos	prom1_bin	1992
p1-tiered-on	cpnos	prom1_free	56
p1-tiered-on	cpnos	payload	1998
p1-tiered-on	rcbios	bios_bytes	5915
