# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p2-default-on
# date: 2026-06-08T19:01:29Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 7c28d7447781
# clang_built: 2026-06-08T21:01:12Z
# clang_uncommitted_changes: 3
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p2-default-on	aes_Oz_default	text	2195
p2-default-on	aes_Oz_default	bin	2555
p2-default-on	aes_Oz_default	tstates	16594443
p2-default-on	aes_Oz_default	verify	PASS
p2-default-on	aes_O2_default	text	4367
p2-default-on	aes_O2_default	bin	5556
p2-default-on	aes_O2_default	tstates	16536005
p2-default-on	aes_O2_default	verify	PASS
p2-default-on	autoload	text_raw	1982
p2-default-on	autoload	prom_bin	1683
p2-default-on	autoload	prom_free	365
p2-default-on	autoload	main_relocated_size	621
p2-default-on	autoload	rom_o_text	1859
p2-default-on	cpnos	prom1_bin	1992
p2-default-on	cpnos	prom1_free	56
p2-default-on	cpnos	payload	1998
p2-default-on	rcbios	bios_bytes	5915
