# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p2-full
# date: 2026-06-08T19:01:48Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 7c28d7447781
# clang_built: 2026-06-08T21:01:12Z
# clang_uncommitted_changes: 3
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p2-full	aes_Oz_default	text	2195
p2-full	aes_Oz_default	bin	2555
p2-full	aes_Oz_default	tstates	16594443
p2-full	aes_Oz_default	verify	PASS
p2-full	aes_O2_default	text	4367
p2-full	aes_O2_default	bin	5556
p2-full	aes_O2_default	tstates	16536005
p2-full	aes_O2_default	verify	PASS
p2-full	autoload	text_raw	1982
p2-full	autoload	prom_bin	1683
p2-full	autoload	prom_free	365
p2-full	autoload	main_relocated_size	621
p2-full	autoload	rom_o_text	1859
p2-full	cpnos	prom1_bin	1992
p2-full	cpnos	prom1_free	56
p2-full	cpnos	payload	1998
p2-full	rcbios	bios_bytes	5915
p2-full	runtime	pass	854
p2-full	runtime	fail	0
p2-full	runtime	fatal	0
p2-full	runtime	skip	256
p2-full	lit	pass	(97.39%)
p2-full	lit	xfail	(2.61%)
