# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p3c3-flag-off
# date: 2026-06-08T19:49:58Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 9f3dc3eb3bc0
# clang_built: 2026-06-08T21:49:41Z
# clang_uncommitted_changes: 2
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p3c3-flag-off	aes_Oz_default	text	2156
p3c3-flag-off	aes_Oz_default	bin	2516
p3c3-flag-off	aes_Oz_default	tstates	16577307
p3c3-flag-off	aes_Oz_default	verify	PASS
p3c3-flag-off	aes_O2_default	text	4367
p3c3-flag-off	aes_O2_default	bin	5556
p3c3-flag-off	aes_O2_default	tstates	16536005
p3c3-flag-off	aes_O2_default	verify	PASS
p3c3-flag-off	autoload	text_raw	1969
p3c3-flag-off	autoload	prom_bin	1671
p3c3-flag-off	autoload	prom_free	377
p3c3-flag-off	autoload	main_relocated_size	614
p3c3-flag-off	autoload	rom_o_text	1846
p3c3-flag-off	cpnos	prom1_bin	1996
p3c3-flag-off	cpnos	prom1_free	52
p3c3-flag-off	cpnos	payload	2006
p3c3-flag-off	rcbios	bios_bytes	5915
