# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p3c3-ix-on
# date: 2026-06-08T19:50:01Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 9f3dc3eb3bc0
# clang_built: 2026-06-08T21:49:41Z
# clang_uncommitted_changes: 2
# clang_extra: '-mllvm -z80-unreserve-ix-no-fp'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p3c3-ix-on	aes_Oz_default	text	2210
p3c3-ix-on	aes_Oz_default	bin	2570
p3c3-ix-on	aes_Oz_default	tstates	16597173
p3c3-ix-on	aes_Oz_default	verify	PASS
p3c3-ix-on	aes_O2_default	text	4367
p3c3-ix-on	aes_O2_default	bin	5556
p3c3-ix-on	aes_O2_default	tstates	16536005
p3c3-ix-on	aes_O2_default	verify	PASS
p3c3-ix-on	autoload	text_raw	1974
p3c3-ix-on	autoload	prom_bin	1677
p3c3-ix-on	autoload	prom_free	371
p3c3-ix-on	autoload	main_relocated_size	614
p3c3-ix-on	autoload	rom_o_text	1865
p3c3-ix-on	cpnos	prom1_bin	1996
p3c3-ix-on	cpnos	prom1_free	52
p3c3-ix-on	cpnos	payload	2006
p3c3-ix-on	rcbios	bios_bytes	5986
