# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p4-full-default
# date: 2026-06-08T19:20:24Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 4035d3cbd221
# clang_built: 2026-06-08T21:19:57Z
# clang_uncommitted_changes: 2
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p4-full-default	aes_Oz_default	text	2156
p4-full-default	aes_Oz_default	bin	2516
p4-full-default	aes_Oz_default	tstates	16577307
p4-full-default	aes_Oz_default	verify	PASS
p4-full-default	aes_O2_default	text	4367
p4-full-default	aes_O2_default	bin	5556
p4-full-default	aes_O2_default	tstates	16536005
p4-full-default	aes_O2_default	verify	PASS
p4-full-default	autoload	text_raw	1969
p4-full-default	autoload	prom_bin	1671
p4-full-default	autoload	prom_free	377
p4-full-default	autoload	main_relocated_size	614
p4-full-default	autoload	rom_o_text	1846
p4-full-default	cpnos	prom1_bin	1996
p4-full-default	cpnos	prom1_free	52
p4-full-default	cpnos	payload	2006
p4-full-default	rcbios	bios_bytes	5915
p4-full-default	runtime	pass	854
p4-full-default	runtime	fail	0
p4-full-default	runtime	fatal	0
p4-full-default	runtime	skip	256
p4-full-default	lit	pass	(97.39%)
p4-full-default	lit	xfail	(2.61%)
