# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: run-a
# date: 2026-06-08T18:18:21Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 93f94560354f
# clang_built: 2026-06-08T16:55:55Z
# clang_uncommitted_changes: 1
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
run-a	aes_Oz_default	text	2213
run-a	aes_Oz_default	bin	2634
run-a	aes_Oz_default	tstates	16593330
run-a	aes_Oz_default	verify	PASS
run-a	aes_O2_default	text	4381
run-a	aes_O2_default	bin	5570
run-a	aes_O2_default	tstates	16535503
run-a	aes_O2_default	verify	PASS
run-a	autoload	text_raw	1982
run-a	autoload	prom_bin	1683
run-a	autoload	prom_free	365
run-a	autoload	main_relocated_size	621
run-a	autoload	rom_o_text	1859
run-a	cpnos	prom1_bin	1992
run-a	cpnos	prom1_free	56
run-a	cpnos	payload	1998
run-a	rcbios	bios_bytes	5915
