# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: undoc-fix-final
# date: 2026-06-08T20:28:00Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 504640f748bf
# clang_built: 2026-06-08T22:27:58Z
# clang_uncommitted_changes: 2
# clang_extra: '-Xclang -target-feature -Xclang +undocumented'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
undoc-fix-final	aes_Oz_default	text	2171
undoc-fix-final	aes_Oz_default	bin	2531
undoc-fix-final	aes_Oz_default	tstates	16589229
undoc-fix-final	aes_Oz_default	verify	PASS
undoc-fix-final	aes_O2_default	text	4367
undoc-fix-final	aes_O2_default	bin	5556
undoc-fix-final	aes_O2_default	tstates	16536005
undoc-fix-final	aes_O2_default	verify	PASS
undoc-fix-final	autoload	text_raw	1971
undoc-fix-final	autoload	prom_bin	1678
undoc-fix-final	autoload	prom_free	370
undoc-fix-final	autoload	main_relocated_size	614
undoc-fix-final	autoload	rom_o_text	1848
undoc-fix-final	cpnos	prom1_bin	1997
undoc-fix-final	cpnos	prom1_free	51
undoc-fix-final	cpnos	payload	2008
undoc-fix-final	rcbios	bios_bytes	5920
undoc-fix-final	runtime	pass	854
undoc-fix-final	runtime	fail	0
undoc-fix-final	runtime	fatal	0
undoc-fix-final	runtime	skip	256
undoc-fix-final	lit	pass	(97.39%)
undoc-fix-final	lit	xfail	(2.61%)
