# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: undoc-peephole-off
# date: 2026-06-08T20:21:29Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: 504640f748bf
# clang_built: 2026-06-08T22:21:27Z
# clang_uncommitted_changes: 2
# clang_extra: '-Xclang -target-feature -Xclang +undocumented'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
undoc-peephole-off	aes_Oz_default	text	2159
undoc-peephole-off	aes_Oz_default	bin	2519
undoc-peephole-off	aes_Oz_default	tstates	1782426
undoc-peephole-off	aes_Oz_default	verify	FAIL
undoc-peephole-off	aes_O2_default	text	4367
undoc-peephole-off	aes_O2_default	bin	5556
undoc-peephole-off	aes_O2_default	tstates	16536005
undoc-peephole-off	aes_O2_default	verify	PASS
undoc-peephole-off	autoload	text_raw	1971
undoc-peephole-off	autoload	prom_bin	1678
undoc-peephole-off	autoload	prom_free	370
undoc-peephole-off	autoload	main_relocated_size	614
undoc-peephole-off	autoload	rom_o_text	1848
undoc-peephole-off	cpnos	prom1_bin	1997
undoc-peephole-off	cpnos	prom1_free	51
undoc-peephole-off	cpnos	payload	2008
undoc-peephole-off	rcbios	bios_bytes	5920
